afd	852976812376371200
afd	852978104851156992
afd	852981265854803972
afd	857840427583631361
afd	857846282957848576
afd	867034523728478208
afd	917896954008539136
afd	973527951173193728
afd	987483034147540993
cdu	1195016997689581568
cdu	1197791586744258560
cdu	973614171886686209
csu	1075362841048346629
csu	973520347634028545
fdp	1002517865864589312
fdp	1064558226304368640
fdp	1091323106180894720
fdp	200195178
fdp	973485249001934848
gruene	94721207
gruene	973546510456705024
linke	94721219
linke	973561044709838849
spd	94721262
spd	973582861361143809
